id,model,disease,property,question,ground_truth,llm_answer
11,tinyllama,Maple Syrup Urine Disease,accumulatesMetabolite,Which metabolite accumulates in Maple Syrup Urine Disease?,Leucine,"In the text, the ""metabolite"" mentioned refers to the compound R-amphetamine in Maple Syrup Urine Disease. The compound is not physically present in Maple Syrup Urine Disease and does not accumulate in it."
12,tinyllama,Maple Syrup Urine Disease,hasCausativeGene,Which gene causes Maple Syrup Urine Disease?,BCKDHA,"Maple Syrup Urine Disease (MSUD) is caused by mutations in the MUF0A1 gene, which is located on chromosome 2. The MUF0A1 gene encodes a protein called mannosyl-4-phosphoarabinose (MAPA), which helps the body break down complex carbohydrates like maple syrup during metabolism. If the MUF0A1 gene is mutated, it leads to a deficiency in MAPA, resulting in MSUD."
13,tinyllama,Homocystinuria,hasInheritancePattern,What is the inheritance pattern of Homocystinuria?,Autosomal Recessive,"Inheritance pattern in Homocystinuaria:

1. Parent species: The parent species, Homocystinuaria, has a single, dominant recessive gene that leads to complete loss of function (Knockout).

2. Offspring species: Asexual reproduction occurs in Homocystinuaria, and the offspring species is identical in DNA content with its parents. However, the offspring species inherits the entire chromosome arm from the parent species (in a single generation), leading to complete loss of function for the recessive gene.

3. Siblings: Offspring of two Homocystinuaria individuals will inherit the same copy of the recessive gene but with two copies of the dominant allele, making them heterozygous.

4. Hybrids: Hybridization between homozygous parent species can result in offspring with one dominant and one recessive genotype. This is because only offspring with a single copy of the recessive gene will have that copy inherited from their parents, resulting in heterozygosity (two copies of the dominant allele).

5. Evolution: Under natural selection, Homocystinuaria will pass along dominant alleles with greater frequency due to the higher fitness of individuals carrying a dominant allele compared to those with recessive alleles. Therefore, as Homocystinuaria becomes more common in the environment, the dominant alleles will become more dominant and eventually replace the recessive alleles."
14,tinyllama,Homocystinuria,treatedWith,How is Homocystinuria treated?,Vitamin B6 Supplementation,"Homocystinuria is an experimental therapy undergoing clinical trials as of January 2021. This type of treatment targets and eliminates a particular protein, cyclosporine A, which is found in the immune system, causing autoimmunity, which can lead to lupus nephritis (Renal Lupus). Treatment involves daily doses of cyclosporine A and also an immunosuppressant drug, tacrolimus. The purpose of this therapy is to reduce the severity and progression of lupus nephritis. The duration of treatment is up to three years depending on individual patient's response to therapy."
15,tinyllama,Homocystinuria,hasDeficientEnzyme,Which enzyme is deficient in Homocystinuria?,Cystathionine Beta-Synthase,"The enzyme called homocysteine synthase (HCYSY) is deficient in Homocystinucia, the name given to a rare genetic disorder caused by mutations in the HCYSY gene. HCYSY plays an important role in the production of amino acids and their metabolites, including methionine, cysteine, and homocysteine. Mutations in this gene lead to the accumulation of homocysteine, which is converted by another enzyme to methylene blue or homocytanin, a potent neurotoxic compound. This accumulation leads to various health problems such as cognitive impairment, visual impairments, and cardiovascular diseases."
16,tinyllama,Homocystinuria,hasSymptom,What symptoms are associated with Homocystinuria?,Lens Dislocation; Marfanoid Habitus; Thromboembolism,"Homocystinuria is a rare condition that can cause abnormalities in the balance and coordination of movements, leading to difficulties walking, standing, or even speaking. Some symptoms include:

1. Difficulty with foot placement and support, such as difficulty keeping your feet on the ground while standing
2. Fumbling and dropping objects
3. Trouble maintaining balance or coordination when walking or running
4. Poor gait patterns (walking or running)
5. Speech disorders, such as slurred speech or difficulty speaking clearly
6. Seizures or other neurological abnormalities
7. Problems with movement, including difficulty turning and balancing while sitting
8. Changes in posture or appearance (such as a bent back or oddly shaped head)

These symptoms can occur in individuals of all ages and may be present at birth or develop later in life. Homocystinuria is generally characterized by one or more of these abnormalities, and it is often accompanied by additional symptoms such as difficulty with balance, coordination, or gait."
17,tinyllama,Homocystinuria,accumulatesMetabolite,Which metabolite accumulates in Homocystinuria?,Homocysteine,"Homocystinuria, or ""warmth in the dark"", is not a known species as it does not exist in reality, but it can be considered as an artificial metabolic process that occurs during the winter months in Antarctica. The accumulation of metabolite (a byproduct of oxidation) at Homocystinuria has been observed and documented through scientific research."
18,tinyllama,Homocystinuria,hasCausativeGene,Which gene causes Homocystinuria?,CBS,"Homocystinucia, also known as congenital cystic polycystic kidney disease (CPKD), is caused by a mutation in the BMPR2 gene. This gene is located on chromosome 1 and plays a crucial role in regulating mesenchymal cell differentiation. The BMPR2 gene is expressed in developing organs, including the kidneys and pancreas. When BMPR2 is mutated or lacking expression, mesenchymal cells are unable to differentiate into specialized cells such as epithelial cells that form the kidney tubules and cysts in the pancreas, leading to development of large polyps (cysts) and the subsequent kidney damage characteristic of CPKD."
19,tinyllama,Tyrosinemia Type I,hasInheritancePattern,What is the inheritance pattern of Tyrosinemia Type I?,Autosomal Recessive,"The inheritance pattern of Tyrosinemia Type I (TYR1) is autosomal dominant. This means that one copy of the TYR1 gene is sufficient to cause the disease in most people, and a copy from another person does not usually help to protect against the disease. Inheritance occurs through a process called dominant-negative mutation. A mutation in the TYR1 gene causes the TYR protein (tyrosine phosphatase 1) to become defective or blocked in its function, resulting in an enhanced ability for tyrosine to bind to the TYR protein. This leads to decreased tyrosine binding and increased production of other tyrosine-protein-interacting molecules, including thyrocytes and glycoproteins. These abnormalities lead to the symptoms of Tyrosinemiia Type I (TYR1), which include severe hyperthyroidism and pituitary disease. However, not everyone with TYR1 will develop hyperthyroidism or other symptoms."
20,tinyllama,Tyrosinemia Type I,treatedWith,How is Tyrosinemia Type I treated?,Nitisinone Therapy,"Tyrosinemiia Type I (TYNMI) is a rare disorder that is characterized by an excess of tyrosine in the blood, leading to symptoms and signs similar to those seen in other rare disorders. In TYNMI, the body produces too much tyrosine, which can result in elevated levels in the blood. Treatment for TYNMI varies based on the severity of symptoms and the presence of underlying medical conditions. Typically, treatment involves reducing the amount of tyrosine produced by removing or replacing the affected protein or enzyme, which can be done through dietary changes (such as restricting or eliminating foods that contain tyrosine), medication, or lifestyle modifications such as exercise and healthy eating habits. In severe cases where there is not enough tyrosine produced by the body, medical treatments may involve administering an enzyme replacement therapy to reduce the production of the protein involved in the disease. However, more research is needed to better understand how to effectively treat TYNMI and develop specific treatment approaches for this rare disorder."
21,tinyllama,Tyrosinemia Type I,hasDeficientEnzyme,Which enzyme is deficient in Tyrosinemia Type I?,Fumarylacetoacetase,"Tyrosine is an essential amino acid found in the proteins of cells, including those that make up the mitochondrial matrix and the lysosomes. In Tyrosine Mihiia Type I (TYTMI), enzymatic reactions involving tyrosine are deficient or defective, leading to abnormalities in metabolism and other physiological processes. The enzyme involved is called phenylalanine hydroxylase, which converts phenylalanine (Phe) into tyrosine, a key component of the amino acid tryptophan (Trp). Without adequate amounts or functions of phenylalanine hydroxylase, the conversion of Phe to Ty is impaired."
22,tinyllama,Tyrosinemia Type I,hasSymptom,What symptoms are associated with Tyrosinemia Type I?,Liver Failure; Renal Tubular Dysfunction,"Tyrosinemia Type I, also known as Aplastic anemia, is a rare genetic disorder that affects the bone marrow. Here are some of the common symptoms:

1. Abdominal Pain and Jaundice: This happens when there is too much red blood cells in the blood (acute megaloblastic anemia). The body may make too many immature white blood cells, called blasts. These blast cells can accumulate in the liver and kidneys, causing jaundice (yellowing of the skin and eyes) and abdominal pain.

2. Severe Fatigue: This happens when there is an excessive number of immature white blood cells in the bloodstream. The cells can not carry out their functions properly leading to fatigue, lack of energy, and weakness.

3. Nausea and Vomiting: This happens when there are too many immature red blood cells in the bloodstream. These red blood cells are usually destroyed by the bone marrow or spleen, but some remain and can cause nausea, vomiting, and stomach pain.

4. Anemia (Low Blood Count): This happens when there is not enough red blood cells. The body may make more white blood cells to compensate for this deficiency. Low white blood cell count leads to anemia.

5. Spleen Abnormalities: This happens when the spleen, a small organ that helps filter out immune system cells, is affected. This can cause an overproduction of red blood cells and lead to low platelet counts (thrombocytopenia).

6. Hematopoietic (Bone Marrow) Failure: This happens when there is not enough production of healthy blood cells in the bone marrow. The result is a lack of red blood cells, white blood cells, and platelets, leading to anemia, thrombocytopenia, and other symptoms.

7. Blood Cell Loss: This happens when there is not enough time for healthy red blood cells to make it through the bone marrow before they die or are destroyed by the body's immune system. The result is a lack of blood cells and fatigue.

These symptoms can be severe, life-threatening, and interfere with daily life activities. They are caused by the overproduction of certain immature white blood cell types or an abnormal spleen that fails to filter out these cells. Tyrosine mihi type I is a rare disorder, affecting only around 1 in 500,000 people."
23,tinyllama,Tyrosinemia Type I,accumulatesMetabolite,Which metabolite accumulates in Tyrosinemia Type I?,Succinylacetone,"Tyrosineemiia Type I is a rare metabolic disorder that occurs due to deficiency of the enzyme tyrosine decarboxylase (TDC). It primarily affects young children, and in some cases, symptoms can include seizures, developmental delay, and growth retardation. However, the exact metabolite accumulating in Tyrosineemiia Type I is not known."
24,tinyllama,Tyrosinemia Type I,hasCausativeGene,Which gene causes Tyrosinemia Type I?,FAH,"Tyrosineamiia Type I is caused by mutations in the TYRP1 gene, which is located on chromosome 6p21. The specific mutation that leads to the condition is called a germline mutation. This means that it occurs during fetal development and is inherited directly from parents who carry the mutated gene."
25,tinyllama,Alkaptonuria,hasInheritancePattern,What is the inheritance pattern of Alkaptonuria?,Autosomal Recessive,"Alkaptonuria is not inherited, as it refers to a genetic condition that affects individuals with the mutation in their DNA. The gene responsible for this condition has not been identified or cloned. Therefore, Alkaptonuria cannot be passed down from generation to generation like other genetic conditions."
26,tinyllama,Alkaptonuria,treatedWith,How is Alkaptonuria treated?,Nitisinone Therapy,"Alkaptonuria, or low-titre IgA deficiency, is not generally treated with medication but can be managed with lifestyle changes and supportive care measures. It's a condition that can impact people of all ages, but it primarily affects children and young adults. Treatment options vary depending on the individual's specific symptoms and age.

Some common treatments for alkaptonuria include:

1. Hydration therapy: Alkaptonuria is caused by a lack of protein in the blood, which makes it harder for the body to absorb water. Proper hydration can help replenish lost water and restore electrolyte balance.

2. Calcium supplements: Vitamin D deficiency has been found to be prevalent in alkaptonuri patients, so calcium supplements may be beneficial for those who are not able to absorb enough vitamin D on their own.

3. Dietary modifications: A diet high in protein and fat is recommended for individuals with low-titre IgA deficiency. This can help ensure adequate nutrient absorption, but it's also important to limit sugar and processed foods that may contribute to weight gain.

4. Supplementation: Some medications used to treat alkaptonuria, such as glyceryl trinitrate (GNT), are approved by the FDA for the treatment of low-titre IgA deficiency. However, these medications require regular medical monitoring and may have serious side effects, including respiratory depression.

5. Immunotherapy: If diagnostic testing shows a low titre of IgA in the blood or urine, immunotherapy, such as plasmapheresis (a blood-cleansing procedure) or infusion of recombinant human IgA (rhIgA), may be considered as a treatment option. These treatments are not covered by insurance and require significant financial outlay.

Overall, lifestyle changes, supportive care measures, and medical monitoring can help manage alkaptonuria symptoms and prevent complications."
27,tinyllama,Alkaptonuria,hasDeficientEnzyme,Which enzyme is deficient in Alkaptonuria?,"Homogentisate 1,2-Dioxygenase","In Alkaptonuria, the deficiency of one or more of the following enzymes may contribute to its pathogenesis:

1. Alanine aminotransferase (ALT)
2. Aspartate aminotransferase (AST)
3. Glutamic oxydase
4. Glucose-6-phosphatase
5. Phosphofructokinase (PFK)
6. PEPCK
7. Pyruvate kinase
8. Pyruvate decarboxylase (PDC)
9. Succinate dehydrogenase (SDH)
10. Tetrahydropyrimidine dehydrogenase (TPDH)"
28,tinyllama,Alkaptonuria,hasSymptom,What symptoms are associated with Alkaptonuria?,Arthritis; Ochronosis,"Alkaptonuria is an extremely rare condition characterized by markedly impaired kidney function, usually resulting in severe and persistent kidney failure. It typically involves the abnormal accumulation of excessive amounts of urea, which can cause urine to become cloudy or pale yellow in color. Other symptoms associated with Alkaptonuria include:
- Increased creatinine levels (an increase in the amount of protein produced by the kidneys)
- High blood pressure and/or fluid retention
- Frequent or intense urination (up to 10 or more hours per day)
- Swelling in extremities (usually feet or hands)
- Abdominal pain, nausea, and vomiting
- Difficulty breathing or wheezing
- Fainting (syncope) due to reduced kidney function.

There is no cure for Alkaptonuria, but treatment may include:
- Medication to control high blood pressure and fluid retention
- Blood transfusions when needed
- Regular monitoring of urine and other signs of kidney damage
- Dietary changes to reduce protein intake and prevent dehydration
- Treatment for other underlying medical conditions if appropriate."
29,tinyllama,Alkaptonuria,accumulatesMetabolite,Which metabolite accumulates in Alkaptonuria?,Homogentisic Acid,"The metabolite that accumulates in Alkaptonuria is a disulfide, which results from the covalent bonding of sulfur to another atom. This disulfide accumulates within the cells and tissues of patients with Alkaptonuria due to their high levels of iron."
30,tinyllama,Alkaptonuria,hasCausativeGene,Which gene causes Alkaptonuria?,HGD,"Alkaptonuria is caused by mutations in the FUS1 gene, also known as APOL1 gene, which leads to abnormal production of apolipoprotein L1 (APOLIP1), a protein that helps transport cholesterol and other lipids out of cells. The mutation causes the normal protein to be produced in excessive amounts or with defects in the enzyme activity required for its synthesis. This results in a deficiency in APOLIP1, which can lead to various symptoms, including deposition of lipid droplets or fat cells in various organs and tissues. The specific gene mutation that causes Alkaptonuria is not known."
31,tinyllama,Nonketotic Hyperglycinemia,hasInheritancePattern,What is the inheritance pattern of Nonketotic Hyperglycinemia?,Autosomal Recessive,"Nonketotic hyperglycinemia (NKH) has an inheritance pattern known as autosomal dominant, which means that if one copy of the defective gene is present in each cell, then one child will inherit the disease if his/her parents also have a copy. The inheritance pattern can vary depending on the specific genes involved and their functional properties. However, in general, the phenotype (the observable characteristics) of NKH tends to be more severe than that of other types of hyperglycinemia. It involves a deficiency or excessive accumulation of glycine within proteins leading to their aggregation and toxic effects on various organs, such as the brain, lungs, liver, heart, and kidneys. Therefore, there is a strong genetic component to NKH inheritance pattern, and the risk of passing on the disease can be expected to increase with each generation."
32,tinyllama,Nonketotic Hyperglycinemia,treatedWith,How is Nonketotic Hyperglycinemia treated?,Sodium Benzoate Therapy,"Nonketotic hyperglycinemia, also known as NPHP, is a rare genetic disorder characterized by elevated levels of glycine in the blood. The treatment for this condition typically involves lifestyle modifications and/or medical interventions to address the underlying cause of the hyperglycinemia. In some cases, lifestyle modifications such as dietary changes or medications may be effective in reducing symptoms such as gastrointestinal issues or psychological distress. For more severe cases, medical interventions like gene therapy and bone marrow transplantation may also be used to correct the underlying genetic defect. In general, the goal of treatment is to manage symptoms and improve quality of life for patients with NPHP."
33,tinyllama,Nonketotic Hyperglycinemia,hasDeficientEnzyme,Which enzyme is deficient in Nonketotic Hyperglycinemia?,Glycine Decarboxylase,"A protein called glycine beta-hydroxylase, or GHBH, is deficient in Nonketotic Hyperglycinemia. It is a small enzyme that catalyzes the conversion of glycine to glutamate. Without sufficient amounts of this enzyme, the body cannot properly break down and metabolize excess amino acids and glutamates, which can lead to several medical conditions such as Nonketotic Hyperglycinemia. The exact deficiency of GHBH in Nonketotic Hyperglycinemia is not fully understood but has been linked to genetic variations in the GHBH gene."
34,tinyllama,Nonketotic Hyperglycinemia,hasSymptom,What symptoms are associated with Nonketotic Hyperglycinemia?,Encephalopathy; Seizures,"Nonketotic hyperglycinemia (NKH) is a rare genetic disorder that affects the liver and can lead to kidney failure, neurologic damage, and death. Here are some common symptoms associated with NKH:

1. Pernicious anemia: This condition causes liver cells to produce too much acid (hemochromatosis). As a result, vitamin B12 deficiency occurs due to the destruction of bone marrow cells and liver cells. This can cause fatigue, muscle weakness, weight loss, and difficulty swallowing.

2. Neurologic damage: Nerve damage is common in NKH patients. The nerves supply blood vessels to the liver, which may leak or become obstructed due to lack of vitamin B12.

3. Kidney failure: Vitamin B12 deficiency affects the production of red blood cells and platelets, leading to anemia and low red blood cell count.

4. Neurological damage: Nerve damage may cause seizures or other neurologic disorders.

5. Death: NKH can lead to death due to kidney failure, liver failure, or other complications."
35,tinyllama,Nonketotic Hyperglycinemia,accumulatesMetabolite,Which metabolite accumulates in Nonketotic Hyperglycinemia?,Glycine,"A metabolite that accumulates in Nonketotic Hyperglycinemia is glucose, which is the main source of energy for the body. Glucose is produced by cells through breakdown of food and other sources such as photosynthesis and metabolism in some organisms."
36,tinyllama,Nonketotic Hyperglycinemia,hasCausativeGene,Which gene causes Nonketotic Hyperglycinemia?,GLDC,"Nonketotic hyperglycinemia (NKH) is caused by mutations in one of the three genes that encode proteins involved in glycine metabolism: glycinamidase 1 (GAMT), glycinamidase 2 (GAMT-2), or glutamate dehydrogenase (GAD). The most common mutation found in individuals with NKH is a deletion of a single nucleotide at the start of exon 3, leading to an amino acid substitution from lysine to arginine. This results in a protein that is impaired in its ability to convert glycine into the metabolite glutamate. Without sufficient glutamate production, the body cannot convert glycine into glucose, leading to a lack of energy for vital cellular functions. NKH is caused by mutations in genes encoding enzymes involved in glycine metabolism, such as GAMT or GAD."
37,tinyllama,Citrullinemia Type I,hasInheritancePattern,What is the inheritance pattern of Citrullinemia Type I?,Autosomal Recessive,"Citrullinemia Type I is inheritable in the following ways:

1. Direct heredity: Citrullinemias are transmitted directly from parent to offspring.

2. Sympatric sibling inheritance: Citrullinemias have identical genes, so siblings can inherit them as a unit.

3. Clonal inheritance: Citrullinemias can also be transmitted via clones, which are identical but non-genetically related to the parent, making them less likely to pass on the trait. However, some strains of Citrullinemias Type I may have higher transmission rates due to their unique features.

Overall, Citrullinemias are generally inherited in a similar way to other types of bacteria, where parents and offspring can inherit distinct traits with a lower probability for clonal inheritance."
38,tinyllama,Citrullinemia Type I,treatedWith,How is Citrullinemia Type I treated?,Protein-Restricted Diet,"Citrullinemia Type I is not yet approved by the Food and Drug Administration (FDA) for treatment of cancer. The FDA has established a registry to evaluate the safety, tolerability, and efficacy of certain drug-like molecules called ""cancer antagonists,"" which are designed to stimulate immune responses against cancer cells in vitro or in vivo. Citrullinemia Type I is not included in this registry because it lacks an approved indication for clinical use. However, the FDA has indicated that they will consider approval of certain drug-like molecules as a new therapy for certain types of cancer, including some cancers with mutations that evade traditional cancer treatment strategies. Citrullinemia Type I is a type of immune checkpoint inhibitor, which means it targets the body's natural immune response to cancer cells. As such, its mechanism of action involves blocking the activity of the programmed cell death protein 1 (PD-1) and tumor necrosis factor receptor-associated kinase 1 (TRAK1) that promote Treg (tumor-regressive immune effector cells) differentiation. The drug is in clinical development for certain types of cancer, including pancreatic ductal adenocarcinoma and glioblastoma multiforme, but its approval has been delayed due to a lack of efficacy data."
39,tinyllama,Citrullinemia Type I,hasDeficientEnzyme,Which enzyme is deficient in Citrullinemia Type I?,Argininosuccinate Synthase,"The citrus fruit, citrumela type I, has one enzyme that is deficient: citric acid mono-hydrate, also known as (E)-3-hydroxybutyrate. This enzyme helps to convert the citrates in citrus fruits into their more stable citrate form, which can be used for fermentation. Citrumela type I is primarily consumed as juice, and some fresh fruit is also used in recipes such as juices or smoothies. However, this enzyme deficiency does not affect the nutritional value of the citrus fruit itself, and it is not considered a problem for human health."
40,tinyllama,Citrullinemia Type I,hasSymptom,What symptoms are associated with Citrullinemia Type I?,Hyperammonemia; Lethargy,"Citrullinemia Type I is an inherited metabolic disorder that is characterized by a deficiency of the enzyme citrate synthase, which leads to accumulation of intracellular citrate in various tissues. The symptoms associated with this type of Citruillinemia are:

1. Obesity or excessive fat accumulation
2. Hypoglycemia (low blood sugar)
3. Seizures
4. Muscle weakness or loss of muscle mass
5. Reduced bone mineral density (BMD)
6. Elevated liver enzymes
7. Increased urinary excretion of intracellular citrate
8. Hypertriglyceridemia
9. Hypocaloric diet intake
10. Increased risk of certain types of cancer (particularly pancreatic, bladder, and breast cancers).

Citruillinemia may be caused by a mutation in the CITR gene, which is located on chromosome 7q34."
41,tinyllama,Citrullinemia Type I,accumulatesMetabolite,Which metabolite accumulates in Citrullinemia Type I?,Citrulline,The metabolite that accumulates in Citrullinemia Type I is not mentioned in the given text. It may be an unnamed bacterial strain or a type of antibiotic that has been used in this type of Citrullinemia.
42,tinyllama,Citrullinemia Type I,hasCausativeGene,Which gene causes Citrullinemia Type I?,ASS1,"Citrullinemia Type I is caused by mutations in the DRD2 gene, which is located on chromosome 6p21.31-p13.3. This gene provides instructions for making a protein called dopamine receptor D2 (DRD2), which plays an important role in regulating mood and reward. Mutations in this gene can lead to abnormalities or deficits in dopamine signaling, which can cause symptoms of Citrullinemias like increased appetite, restlessness, irritability, anxiety, and difficulty controlling impulses."
43,tinyllama,Argininosuccinic Aciduria,hasInheritancePattern,What is the inheritance pattern of Argininosuccinic Aciduria?,Autosomal Recessive,"Arginiinosuccinic Aciduria does not have any known paternity pattern or inheritance pattern. It is a rare genetic disorder that can affect multiple individuals with similar symptoms, but they do not inherit the mutation from their parents."
