id,model,disease,property,question,ground_truth,prompt,llm_answer
13,tinyllama,Homocystinuria,hasInheritancePattern,What is the inheritance pattern of Homocystinuria?,Autosomal Recessive,"You are a biomedical assistant.
Answer ONLY using the knowledge below.
Do not use outside knowledge.
If the answer is not present, reply exactly:
I don't know based on the provided knowledge.

=== KNOWLEDGE ===
Disease: Homocystinuria
Treatment: Vitamin B6 Supplementation
Accumulated Metabolite: Homocysteine
Deficient Enzyme: Cystathionine Beta-Synthase
Symptoms: Lens Dislocation, Marfanoid Habitus, Thromboembolism
Inheritance Pattern: Autosomal Recessive
Causative Gene: CBS

=== QUESTION ===
What is the inheritance pattern of Homocystinuria?

=== ANSWER ===
",The inheritance pattern of Homocystinuria is auto-sromal recevive.
14,tinyllama,Homocystinuria,treatedWith,How is Homocystinuria treated?,Vitamin B6 Supplementation,"You are a biomedical assistant.
Answer ONLY using the knowledge below.
Do not use outside knowledge.
If the answer is not present, reply exactly:
I don't know based on the provided knowledge.

=== KNOWLEDGE ===
Disease: Homocystinuria
Treatment: Vitamin B6 Supplementation
Accumulated Metabolite: Homocysteine
Deficient Enzyme: Cystathionine Beta-Synthase
Symptoms: Lens Dislocation, Marfanoid Habitus, Thromboembolism
Inheritance Pattern: Autosomal Recessive
Causative Gene: CBS

=== QUESTION ===
How is Homocystinuria treated?

=== ANSWER ===
","The given knowledge only provides a brief overview of the treatment for homocystinuria, which does not mention any specific treatments. It can be assumed that since there are no mentioned treatments in the provided knowledge, one should not rely on outside knowledge or make a clinical decision based solely on this information."
15,tinyllama,Homocystinuria,hasDeficientEnzyme,Which enzyme is deficient in Homocystinuria?,Cystathionine Beta-Synthase,"You are a biomedical assistant.
Answer ONLY using the knowledge below.
Do not use outside knowledge.
If the answer is not present, reply exactly:
I don't know based on the provided knowledge.

=== KNOWLEDGE ===
Disease: Homocystinuria
Treatment: Vitamin B6 Supplementation
Accumulated Metabolite: Homocysteine
Deficient Enzyme: Cystathionine Beta-Synthase
Symptoms: Lens Dislocation, Marfanoid Habitus, Thromboembolism
Inheritance Pattern: Autosomal Recessive
Causative Gene: CBS

=== QUESTION ===
Which enzyme is deficient in Homocystinuria?

=== ANSWER ===
","The correct answer to the question ""Which enzyme is deficient in Homocystinuria?"" is Vitamin B6 Supplementation."
16,tinyllama,Homocystinuria,hasSymptom,What symptoms are associated with Homocystinuria?,Lens Dislocation; Marfanoid Habitus; Thromboembolism,"You are a biomedical assistant.
Answer ONLY using the knowledge below.
Do not use outside knowledge.
If the answer is not present, reply exactly:
I don't know based on the provided knowledge.

=== KNOWLEDGE ===
Disease: Homocystinuria
Treatment: Vitamin B6 Supplementation
Accumulated Metabolite: Homocysteine
Deficient Enzyme: Cystathionine Beta-Synthase
Symptoms: Lens Dislocation, Marfanoid Habitus, Thromboembolism
Inheritance Pattern: Autosomal Recessive
Causative Gene: CBS

=== QUESTION ===
What symptoms are associated with Homocystinuria?

=== ANSWER ===
","Answer based on the provided knowledge: The symptoms of Homocystinuria are not known and require further research. It is unclear from the given knowledge whether or not this disorder is diagnosed, what its potential causes or treatment options are, or how it affects an individual's life."
17,tinyllama,Homocystinuria,accumulatesMetabolite,Which metabolite accumulates in Homocystinuria?,Homocysteine,"You are a biomedical assistant.
Answer ONLY using the knowledge below.
Do not use outside knowledge.
If the answer is not present, reply exactly:
I don't know based on the provided knowledge.

=== KNOWLEDGE ===
Disease: Homocystinuria
Treatment: Vitamin B6 Supplementation
Accumulated Metabolite: Homocysteine
Deficient Enzyme: Cystathionine Beta-Synthase
Symptoms: Lens Dislocation, Marfanoid Habitus, Thromboembolism
Inheritance Pattern: Autosomal Recessive
Causative Gene: CBS

=== QUESTION ===
Which metabolite accumulates in Homocystinuria?

=== ANSWER ===
","The given knowledge states that homocysteine accumulates in the disorder of Vitamin B6 supplementation, vitamin B6 deficiency, cumulative metabolite, auto-somal reciprocal, and auto-somal transmitted genes."
18,tinyllama,Homocystinuria,hasCausativeGene,Which gene causes Homocystinuria?,CBS,"You are a biomedical assistant.
Answer ONLY using the knowledge below.
Do not use outside knowledge.
If the answer is not present, reply exactly:
I don't know based on the provided knowledge.

=== KNOWLEDGE ===
Disease: Homocystinuria
Treatment: Vitamin B6 Supplementation
Accumulated Metabolite: Homocysteine
Deficient Enzyme: Cystathionine Beta-Synthase
Symptoms: Lens Dislocation, Marfanoid Habitus, Thromboembolism
Inheritance Pattern: Autosomal Recessive
Causative Gene: CBS

=== QUESTION ===
Which gene causes Homocystinuria?

=== ANSWER ===
",The gene that causes Homocystinuria is not mentioned in the provided knowledge.
19,tinyllama,Tyrosinemia Type I,hasInheritancePattern,What is the inheritance pattern of Tyrosinemia Type I?,Autosomal Recessive,"You are a biomedical assistant.
Answer ONLY using the knowledge below.
Do not use outside knowledge.
If the answer is not present, reply exactly:
I don't know based on the provided knowledge.

=== KNOWLEDGE ===
Disease: Tyrosinemia Type I
Treatment: Nitisinone Therapy
Accumulated Metabolite: Succinylacetone
Deficient Enzyme: Fumarylacetoacetase
Symptoms: Liver Failure, Renal Tubular Dysfunction
Inheritance Pattern: Autosomal Recessive
Causative Gene: FAH

=== QUESTION ===
What is the inheritance pattern of Tyrosinemia Type I?

=== ANSWER ===
",The inheritance pattern of Tyrosinemia Type I is autosomal recessive.
20,tinyllama,Tyrosinemia Type I,treatedWith,How is Tyrosinemia Type I treated?,Nitisinone Therapy,"You are a biomedical assistant.
Answer ONLY using the knowledge below.
Do not use outside knowledge.
If the answer is not present, reply exactly:
I don't know based on the provided knowledge.

=== KNOWLEDGE ===
Disease: Tyrosinemia Type I
Treatment: Nitisinone Therapy
Accumulated Metabolite: Succinylacetone
Deficient Enzyme: Fumarylacetoacetase
Symptoms: Liver Failure, Renal Tubular Dysfunction
Inheritance Pattern: Autosomal Recessive
Causative Gene: FAH

=== QUESTION ===
How is Tyrosinemia Type I treated?

=== ANSWER ===
","Based on the given knowledge, Tyrosine mihiya type I is typically treated with a combination of drugs. Ni TiSiNoNe Therapy and Fumarylacetoacetase are commonly used medications to treat this condition. The exact details of the treatment protocol will depend on the specific symptoms and severity of the disorder, but in general, it may involve targeted therapies aimed at correcting the underlying genetic mutation or addressing the underlying imbalance of enzymes. Patients with Tyrosine mihiya type I should consult their healthcare provider to receive the most appropriate treatment for their specific needs."
21,tinyllama,Tyrosinemia Type I,hasDeficientEnzyme,Which enzyme is deficient in Tyrosinemia Type I?,Fumarylacetoacetase,"You are a biomedical assistant.
Answer ONLY using the knowledge below.
Do not use outside knowledge.
If the answer is not present, reply exactly:
I don't know based on the provided knowledge.

=== KNOWLEDGE ===
Disease: Tyrosinemia Type I
Treatment: Nitisinone Therapy
Accumulated Metabolite: Succinylacetone
Deficient Enzyme: Fumarylacetoacetase
Symptoms: Liver Failure, Renal Tubular Dysfunction
Inheritance Pattern: Autosomal Recessive
Causative Gene: FAH

=== QUESTION ===
Which enzyme is deficient in Tyrosinemia Type I?

=== ANSWER ===
","The question is asking for the deficiant enzyme associated with Tyrosinemia Type I. The provided knowledge mentions that the enzyme is Fumarylacetoacetase, which is a mitochondrial enzyme associated with fatty acid metabolism."
22,tinyllama,Tyrosinemia Type I,hasSymptom,What symptoms are associated with Tyrosinemia Type I?,Liver Failure; Renal Tubular Dysfunction,"You are a biomedical assistant.
Answer ONLY using the knowledge below.
Do not use outside knowledge.
If the answer is not present, reply exactly:
I don't know based on the provided knowledge.

=== KNOWLEDGE ===
Disease: Tyrosinemia Type I
Treatment: Nitisinone Therapy
Accumulated Metabolite: Succinylacetone
Deficient Enzyme: Fumarylacetoacetase
Symptoms: Liver Failure, Renal Tubular Dysfunction
Inheritance Pattern: Autosomal Recessive
Causative Gene: FAH

=== QUESTION ===
What symptoms are associated with Tyrosinemia Type I?

=== ANSWER ===
","Based on the given knowledge, the answer to the question is ""None of the above."""
23,tinyllama,Tyrosinemia Type I,accumulatesMetabolite,Which metabolite accumulates in Tyrosinemia Type I?,Succinylacetone,"You are a biomedical assistant.
Answer ONLY using the knowledge below.
Do not use outside knowledge.
If the answer is not present, reply exactly:
I don't know based on the provided knowledge.

=== KNOWLEDGE ===
Disease: Tyrosinemia Type I
Treatment: Nitisinone Therapy
Accumulated Metabolite: Succinylacetone
Deficient Enzyme: Fumarylacetoacetase
Symptoms: Liver Failure, Renal Tubular Dysfunction
Inheritance Pattern: Autosomal Recessive
Causative Gene: FAH

=== QUESTION ===
Which metabolite accumulates in Tyrosinemia Type I?

=== ANSWER ===
","Based on the knowledge provided, ""Tyrosinemiia Type I"" is a disease caused by an accumulation of a type of metabolic disorder called tyrosine. The main cause of this disorder is the imbalance in the production of certain enzymes needed for the breakdown and synthesis of proteins and lipids, specifically in the liver. The most common symptoms of Tyrosinemiia Type I are liver failure and renal dysfunction, as well as renal tubular dysfunction caused by decreased Na+/K+-ATPase activity, which can lead to progressive kidney damage."
24,tinyllama,Tyrosinemia Type I,hasCausativeGene,Which gene causes Tyrosinemia Type I?,FAH,"You are a biomedical assistant.
Answer ONLY using the knowledge below.
Do not use outside knowledge.
If the answer is not present, reply exactly:
I don't know based on the provided knowledge.

=== KNOWLEDGE ===
Disease: Tyrosinemia Type I
Treatment: Nitisinone Therapy
Accumulated Metabolite: Succinylacetone
Deficient Enzyme: Fumarylacetoacetase
Symptoms: Liver Failure, Renal Tubular Dysfunction
Inheritance Pattern: Autosomal Recessive
Causative Gene: FAH

=== QUESTION ===
Which gene causes Tyrosinemia Type I?

=== ANSWER ===
","The gene causing Tyrosinemiia Type I is FAH (fructose-1,6-bisphosphatase alpha)."
25,tinyllama,Alkaptonuria,hasInheritancePattern,What is the inheritance pattern of Alkaptonuria?,Autosomal Recessive,"You are a biomedical assistant.
Answer ONLY using the knowledge below.
Do not use outside knowledge.
If the answer is not present, reply exactly:
I don't know based on the provided knowledge.

=== KNOWLEDGE ===
Disease: Alkaptonuria
Treatment: Nitisinone Therapy
Accumulated Metabolite: Homogentisic Acid
Deficient Enzyme: Homogentisate 1,2-Dioxygenase
Symptoms: Arthritis, Ochronosis
Inheritance Pattern: Autosomal Recessive
Causative Gene: HGD

=== QUESTION ===
What is the inheritance pattern of Alkaptonuria?

=== ANSWER ===
","The answer for ""What is the inheritance pattern of Alkaptonuria?"" is autosomal transmitter (ASO)."
26,tinyllama,Alkaptonuria,treatedWith,How is Alkaptonuria treated?,Nitisinone Therapy,"You are a biomedical assistant.
Answer ONLY using the knowledge below.
Do not use outside knowledge.
If the answer is not present, reply exactly:
I don't know based on the provided knowledge.

=== KNOWLEDGE ===
Disease: Alkaptonuria
Treatment: Nitisinone Therapy
Accumulated Metabolite: Homogentisic Acid
Deficient Enzyme: Homogentisate 1,2-Dioxygenase
Symptoms: Arthritis, Ochronosis
Inheritance Pattern: Autosomal Recessive
Causative Gene: HGD

=== QUESTION ===
How is Alkaptonuria treated?

=== ANSWER ===
","I don't know based on the provided knowledge. The question does not provide any specific information about how to treat Alkaptonuria, and therefore, I cannot provide a specific answer based on my knowledge. It is up to the user to research and find out more information about the treatment for this condition."
27,tinyllama,Alkaptonuria,hasDeficientEnzyme,Which enzyme is deficient in Alkaptonuria?,"Homogentisate 1,2-Dioxygenase","You are a biomedical assistant.
Answer ONLY using the knowledge below.
Do not use outside knowledge.
If the answer is not present, reply exactly:
I don't know based on the provided knowledge.

=== KNOWLEDGE ===
Disease: Alkaptonuria
Treatment: Nitisinone Therapy
Accumulated Metabolite: Homogentisic Acid
Deficient Enzyme: Homogentisate 1,2-Dioxygenase
Symptoms: Arthritis, Ochronosis
Inheritance Pattern: Autosomal Recessive
Causative Gene: HGD

=== QUESTION ===
Which enzyme is deficient in Alkaptonuria?

=== ANSWER ===
","The enzyme that is deficient in Alkaptonuria is Homogentisate 1,2-Dioxygenase (HGD)."
28,tinyllama,Alkaptonuria,hasSymptom,What symptoms are associated with Alkaptonuria?,Arthritis; Ochronosis,"You are a biomedical assistant.
Answer ONLY using the knowledge below.
Do not use outside knowledge.
If the answer is not present, reply exactly:
I don't know based on the provided knowledge.

=== KNOWLEDGE ===
Disease: Alkaptonuria
Treatment: Nitisinone Therapy
Accumulated Metabolite: Homogentisic Acid
Deficient Enzyme: Homogentisate 1,2-Dioxygenase
Symptoms: Arthritis, Ochronosis
Inheritance Pattern: Autosomal Recessive
Causative Gene: HGD

=== QUESTION ===
What symptoms are associated with Alkaptonuria?

=== ANSWER ===
","The provided knowledge contains information about the symptoms associated with Alkaptonuria, which are Arthritis and Ochronosis."
29,tinyllama,Alkaptonuria,accumulatesMetabolite,Which metabolite accumulates in Alkaptonuria?,Homogentisic Acid,"You are a biomedical assistant.
Answer ONLY using the knowledge below.
Do not use outside knowledge.
If the answer is not present, reply exactly:
I don't know based on the provided knowledge.

=== KNOWLEDGE ===
Disease: Alkaptonuria
Treatment: Nitisinone Therapy
Accumulated Metabolite: Homogentisic Acid
Deficient Enzyme: Homogentisate 1,2-Dioxygenase
Symptoms: Arthritis, Ochronosis
Inheritance Pattern: Autosomal Recessive
Causative Gene: HGD

=== QUESTION ===
Which metabolite accumulates in Alkaptonuria?

=== ANSWER ===
","The given knowledge is not enough to answer the question, as there are no specific details provided about the disease or disorder that causes Alkaptonuria. The only available information is based on the diseasee (Alkaptonuria), but without additional information regarding its causation or inheritance pattern, it's impossible to determine which metabolite accumulates in this condition."
30,tinyllama,Alkaptonuria,hasCausativeGene,Which gene causes Alkaptonuria?,HGD,"You are a biomedical assistant.
Answer ONLY using the knowledge below.
Do not use outside knowledge.
If the answer is not present, reply exactly:
I don't know based on the provided knowledge.

=== KNOWLEDGE ===
Disease: Alkaptonuria
Treatment: Nitisinone Therapy
Accumulated Metabolite: Homogentisic Acid
Deficient Enzyme: Homogentisate 1,2-Dioxygenase
Symptoms: Arthritis, Ochronosis
Inheritance Pattern: Autosomal Recessive
Causative Gene: HGD

=== QUESTION ===
Which gene causes Alkaptonuria?

=== ANSWER ===
","Based on the given knowledge, the gene causing Alkaptonuria is not present in the provided list. Therefore, the question is answered incorrectly."
31,tinyllama,Nonketotic Hyperglycinemia,hasInheritancePattern,What is the inheritance pattern of Nonketotic Hyperglycinemia?,Autosomal Recessive,"You are a biomedical assistant.
Answer ONLY using the knowledge below.
Do not use outside knowledge.
If the answer is not present, reply exactly:
I don't know based on the provided knowledge.

=== KNOWLEDGE ===
Disease: Nonketotic Hyperglycinemia
Treatment: Sodium Benzoate Therapy
Accumulated Metabolite: Glycine
Deficient Enzyme: Glycine Decarboxylase
Symptoms: Encephalopathy, Seizures
Inheritance Pattern: Autosomal Recessive
Causative Gene: GLDC

=== QUESTION ===
What is the inheritance pattern of Nonketotic Hyperglycinemia?

=== ANSWER ===
","No outside knowledge was used to answer this question. Based on the provided knowledge, it can be inferred that the inheritance pattern of Nonketotic Hyperglycinemia follows an autosomal recessive pattern."
32,tinyllama,Nonketotic Hyperglycinemia,treatedWith,How is Nonketotic Hyperglycinemia treated?,Sodium Benzoate Therapy,"You are a biomedical assistant.
Answer ONLY using the knowledge below.
Do not use outside knowledge.
If the answer is not present, reply exactly:
I don't know based on the provided knowledge.

=== KNOWLEDGE ===
Disease: Nonketotic Hyperglycinemia
Treatment: Sodium Benzoate Therapy
Accumulated Metabolite: Glycine
Deficient Enzyme: Glycine Decarboxylase
Symptoms: Encephalopathy, Seizures
Inheritance Pattern: Autosomal Recessive
Causative Gene: GLDC

=== QUESTION ===
How is Nonketotic Hyperglycinemia treated?

=== ANSWER ===
","The correct answer to the question ""How is Nonketotic Hyperglycinemia treated?"" is with soybean oil supplementation. This treatment is used as a form of therapy for nonketotic hyperglycinemia, which is a rare genetic disorder that affects the body's ability to absorb and metabolize glycine. Treatment options may also include dietary changes and medications such as cholinesterase inhibitors or glutamate decarboxylase (GAD) inhibitors, but soybean oil supplementation is considered the most effective therapy available for nonketotic hyperglycinemia."
33,tinyllama,Nonketotic Hyperglycinemia,hasDeficientEnzyme,Which enzyme is deficient in Nonketotic Hyperglycinemia?,Glycine Decarboxylase,"You are a biomedical assistant.
Answer ONLY using the knowledge below.
Do not use outside knowledge.
If the answer is not present, reply exactly:
I don't know based on the provided knowledge.

=== KNOWLEDGE ===
Disease: Nonketotic Hyperglycinemia
Treatment: Sodium Benzoate Therapy
Accumulated Metabolite: Glycine
Deficient Enzyme: Glycine Decarboxylase
Symptoms: Encephalopathy, Seizures
Inheritance Pattern: Autosomal Recessive
Causative Gene: GLDC

=== QUESTION ===
Which enzyme is deficient in Nonketotic Hyperglycinemia?

=== ANSWER ===
","No external knowledge was provided to answer the question, based on the given knowledge. The given statement ""I don't know"" is used as a placeholder for answering questions or finding the appropriate knowledge from sources such as encyclopedias or databases."
34,tinyllama,Nonketotic Hyperglycinemia,hasSymptom,What symptoms are associated with Nonketotic Hyperglycinemia?,Encephalopathy; Seizures,"You are a biomedical assistant.
Answer ONLY using the knowledge below.
Do not use outside knowledge.
If the answer is not present, reply exactly:
I don't know based on the provided knowledge.

=== KNOWLEDGE ===
Disease: Nonketotic Hyperglycinemia
Treatment: Sodium Benzoate Therapy
Accumulated Metabolite: Glycine
Deficient Enzyme: Glycine Decarboxylase
Symptoms: Encephalopathy, Seizures
Inheritance Pattern: Autosomal Recessive
Causative Gene: GLDC

=== QUESTION ===
What symptoms are associated with Nonketotic Hyperglycinemia?

=== ANSWER ===
","The answer is Encephalopathy, Seizures."
35,tinyllama,Nonketotic Hyperglycinemia,accumulatesMetabolite,Which metabolite accumulates in Nonketotic Hyperglycinemia?,Glycine,"You are a biomedical assistant.
Answer ONLY using the knowledge below.
Do not use outside knowledge.
If the answer is not present, reply exactly:
I don't know based on the provided knowledge.

=== KNOWLEDGE ===
Disease: Nonketotic Hyperglycinemia
Treatment: Sodium Benzoate Therapy
Accumulated Metabolite: Glycine
Deficient Enzyme: Glycine Decarboxylase
Symptoms: Encephalopathy, Seizures
Inheritance Pattern: Autosomal Recessive
Causative Gene: GLDC

=== QUESTION ===
Which metabolite accumulates in Nonketotic Hyperglycinemia?

=== ANSWER ===
","Based on the provided knowledge, the correct answer is ""Glzikine Decarboxylase"" (metabolic disorder)"
